classe,precisao,revocacao,f1,suporte
HP,0.9583333333333334,0.3709677419354839,0.5348837209302325,62
adidas,0.4186046511627907,0.5373134328358209,0.47058823529411764,67
aldi,0.9615384615384616,0.4716981132075472,0.6329113924050633,53
apple,0.6153846153846154,0.48484848484848486,0.5423728813559322,33
becks,0.48717948717948717,0.7037037037037037,0.5757575757575758,54
bmw,0.29896907216494845,0.9666666666666667,0.4566929133858268,30
carlsberg,0.88,0.4,0.55,55
chimay,0.8529411764705882,0.5471698113207547,0.6666666666666666,53
cocacola,0.3709677419354839,0.8518518518518519,0.5168539325842697,81
corona,1.0,0.8787878787878788,0.9354838709677419,33
dhl,1.0,0.5,0.6666666666666666,52
erdinger,0.5737704918032787,0.7954545454545454,0.6666666666666666,44
esso,1.0,0.5789473684210527,0.7333333333333333,38
fedex,0.66,0.825,0.7333333333333333,40
ferrari,1.0,0.4375,0.6086956521739131,32
ford,0.7804878048780488,0.8888888888888888,0.8311688311688312,36
fosters,0.9629629629629629,0.7027027027027027,0.8125,37
google,0.8857142857142857,0.9393939393939394,0.9117647058823529,33
guiness,0.8,0.9230769230769231,0.8571428571428571,39
heineken,1.0,0.017241379310344827,0.03389830508474576,58
milka,0.9666666666666667,0.31868131868131866,0.4793388429752066,91
nvidia,0.0,0.0,0.0,50
paulaner,0.5172413793103449,0.75,0.6122448979591837,40
pepsi,0.7,0.49,0.5764705882352941,100
rittersport,1.0,0.3697478991596639,0.5398773006134969,119
shell,1.0,0.4,0.5714285714285714,50
singha,1.0,0.7878787878787878,0.8813559322033898,33
starbucks,0.9166666666666666,0.3142857142857143,0.46808510638297873,35
stellaartois,0.6818181818181818,0.75,0.7142857142857143,40
texaco,0.7435897435897436,0.8529411764705882,0.7945205479452054,34
tsingtao,1.0,0.525,0.6885245901639344,40
ups,0.9642857142857143,0.675,0.7941176470588235,40
