classe,precisao,revocacao,f1,suporte
HP,1.0,0.16129032258064516,0.2777777777777778,62
adidas,0.6263736263736264,0.8507462686567164,0.7215189873417721,67
aldi,0.9743589743589743,0.7169811320754716,0.8260869565217391,53
apple,0.75,0.5454545454545454,0.631578947368421,33
becks,1.0,0.8333333333333334,0.9090909090909091,54
bmw,0.5490196078431373,0.9333333333333333,0.691358024691358,30
carlsberg,0.926829268292683,0.6909090909090909,0.7916666666666666,55
chimay,0.8780487804878049,0.6792452830188679,0.7659574468085106,53
cocacola,0.9354838709677419,0.7160493827160493,0.8111888111888111,81
corona,1.0,0.9696969696969697,0.9846153846153847,33
dhl,0.9722222222222222,0.6730769230769231,0.7954545454545454,52
erdinger,1.0,0.7272727272727273,0.8421052631578947,44
esso,1.0,0.631578947368421,0.7741935483870968,38
fedex,0.9523809523809523,0.5,0.6557377049180327,40
ferrari,1.0,0.9375,0.967741935483871,32
ford,0.8787878787878788,0.8055555555555556,0.8405797101449275,36
fosters,0.7878787878787878,0.7027027027027027,0.7428571428571429,37
google,1.0,0.6363636363636364,0.7777777777777778,33
guiness,0.9473684210526315,0.9230769230769231,0.935064935064935,39
heineken,1.0,0.5,0.6666666666666666,58
milka,0.8983050847457628,0.5824175824175825,0.7066666666666667,91
nvidia,0.0,0.0,0.0,50
paulaner,0.8444444444444444,0.95,0.8941176470588236,40
pepsi,0.9354838709677419,0.58,0.7160493827160493,100
rittersport,1.0,0.03361344537815126,0.06504065040650407,119
shell,1.0,0.46,0.6301369863013698,50
singha,0.9142857142857143,0.9696969696969697,0.9411764705882353,33
starbucks,0.6818181818181818,0.8571428571428571,0.759493670886076,35
stellaartois,0.8888888888888888,0.8,0.8421052631578947,40
texaco,0.9333333333333333,0.8235294117647058,0.875,34
tsingtao,0.9411764705882353,0.8,0.8648648648648649,40
ups,0.5,0.025,0.047619047619047616,40
